Overall_Position,Official_Time,Net_Time,tenkm_Time,Half_Way_Time,thirtykm_Time,label
1,0.0,0.0,0.011094890510948918,0.0183629007158419,0.02151616499442588,0
2,0.01555710064314264,0.015453903214411868,0.02423357664233572,0.026766262060379686,0.025975473801560733,0
3,0.03902311837302275,0.03408689509007412,0.047007299270072966,0.05384375972611266,0.05027870680044588,0
4,0.06509647140622277,0.06587778170257852,0.08175182481751819,0.08667911609088086,0.08082497212931994,0
5,0.07170172084130022,0.07303073119039205,0.04379562043795615,0.05820105820105825,0.06432552954292081,0
7,0.09586302798539892,0.09448957965383253,0.09109489051094888,0.09679427326486156,0.09531772575250841,0
8,0.10264209977403094,0.09890498057223596,0.15649635036496345,0.1389666977902272,0.12742474916387958,0
9,0.10959499391621763,0.10279053338043087,0.17781021897810212,0.14550264550264558,0.13299888517279823,0
10,0.11620024335129486,0.11806782055810672,0.08087591240875913,0.09321506380329914,0.10256410256410253,0
11,0.11654788805840421,0.11806782055810672,0.1489051094890511,0.14207905384375974,0.1289855072463768,0
12,0.11706935511906835,0.118509360649947,0.13284671532846715,0.14581388110799876,0.1325529542920847,0
13,0.1255866504432469,0.1271635464500176,0.14686131386861312,0.14347961406784937,0.13567447045707914,0
14,0.1256735616200243,0.12734016248675384,0.07795620437956197,0.0859010270774977,0.09163879598662206,0
15,0.12741178515557106,0.12954786294595544,0.1299270072992701,0.1366324307500778,0.13154960981047936,0
16,0.12949765339822694,0.12098198516425285,0.17839416058394164,0.14565826330532217,0.13600891861761433,0
17,0.13836259342951507,0.14058636524196388,0.10043795620437956,0.11002178649237482,0.12251950947603119,0
18,0.14105683990961226,0.14350052984811024,0.1284671532846715,0.1307189542483661,0.13299888517279823,0
19,0.144359464627151,0.14579653832567985,0.1456934306569343,0.1532835356364769,0.15061315496098104,0
20,0.14592386580914296,0.14738608265630515,0.16379562043795615,0.189853719265484,0.17146042363433667,0
21,0.14653224404658427,0.13784881667255378,0.1772262773722627,0.14612511671335204,0.1363433667781494,0
22,0.14687988875369362,0.14738608265630515,0.09547445255474452,0.09461562402738877,0.1040133779264214,0
23,0.15565791760820435,0.15480395619922294,0.1357664233576642,0.14332399626517278,0.14704570791527316,0
24,0.1663479923518164,0.16080890144825144,0.17576642335766424,0.17055711173358235,0.16098104793756973,0
25,0.1692160611854684,0.17184740374425989,0.17751824817518247,0.18456271397447876,0.17948717948717952,0
26,0.17008517295324188,0.17255386789120442,0.16729927007299272,0.1920323685029568,0.19241917502787065,0
28,0.170432817660351,0.1729954079830449,0.171970802919708,0.17942732648615,0.17536231884057973,0
29,0.17269250825656168,0.17379018014835745,0.1383941605839416,0.1632430750077809,0.17023411371237462,0
30,0.1740830870849991,0.17705757682797585,0.0,0.0,0.0,0
31,0.1752998435598817,0.17794065701165662,0.1588321167883211,0.17538126361655781,0.18450390189520627,0
33,0.17625586650443237,0.17802896503002463,0.19883211678832113,0.21910986616868977,0.2028985507246377,0
34,0.1774726229793152,0.18014835747085822,0.1845255474452555,0.19047619047619047,0.18996655518394645,0
35,0.17929775769163914,0.17970681737901795,0.1786861313868613,0.17507002801120453,0.17212931995540692,0
36,0.1796454023987485,0.18120805369127502,0.17489051094890506,0.17211328976034868,0.16265328874024532,0
37,0.1809490700504085,0.17802896503002463,0.22656934306569343,0.2164643635231871,0.19754738015607587,0
38,0.18112289240396307,0.18385729424231712,0.15474452554744522,0.17444755680049806,0.18561872909698995,0
39,0.18138362593429525,0.1826209819851643,0.20671532846715324,0.1918767507002801,0.18182831661092536,0
40,0.18138362593429525,0.18164959378311551,0.23153284671532848,0.2247121070650483,0.20824972129319952,0
41,0.1822527377020685,0.18394560226068513,0.13927007299270067,0.14456893868658582,0.1594202898550725,0
42,0.18242656005562308,0.1832391381137406,0.1713868613138686,0.1795829442888267,0.17212931995540692,0
43,0.18451242829827919,0.1848286824443659,0.1535766423357664,0.17086834733893563,0.17458193979933112,0
44,0.18546845124282985,0.1880960791239843,0.16729927007299272,0.18502956738250864,0.18394648829431437,0
45,0.18738049713193117,0.16902154715648177,0.2411678832116788,0.2164643635231871,0.19732441471571904,0
46,0.18894489831392314,0.19109855174849866,0.16058394160583944,0.17444755680049806,0.18238573021181714,0
47,0.18903180949070053,0.1887142352525608,0.15766423357664228,0.1492374727668846,0.15797101449275364,0
48,0.19077003302624707,0.18500529848110192,0.20934306569343064,0.19685652038593215,0.19208472686733558,0
49,0.19276899009212578,0.19189332391381142,0.15737226277372263,0.1389666977902272,0.15273132664437017,0
50,0.19381192421345383,0.19675026492405512,0.18072992700729928,0.17942732648615,0.17759197324414722,0
51,0.1940726577437858,0.19480748851995755,0.20613138686131383,0.19483348895113606,0.18717948717948718,0
52,0.19459412480444993,0.19763334510773567,0.10832116788321167,0.11889200124494248,0.14292084726867338,0
53,0.19502868068833645,0.1982515012363122,0.1766423357664233,0.20323685029567384,0.20379041248606466,0
54,0.1955501477490006,0.19692688096079114,0.2233576642335766,0.22377840024898854,0.20301003344481605,0
55,0.19624543716321907,0.19569056870363832,0.207007299270073,0.20728291316526615,0.20501672240802682,0
56,0.19641925951677386,0.1896856234546096,0.2642335766423357,0.22517896047307817,0.20512820512820518,0
58,0.19763601599165648,0.1961321087954786,0.21138686131386863,0.20728291316526615,0.19888517279821627,0
59,0.19867895011298453,0.20196043800777108,0.1608759124087591,0.18471833177715535,0.19041248606466,0
60,0.19998261776464454,0.2025785941363476,0.17518248175182483,0.18938686585745412,0.19598662207357864,0
